term,mean_active,mean_zero,delta
sales force,0.004419155733940677,0.0009570556365091772,0.0034621000974314996
hospitals,0.0057600530724815045,0.0023049049310790055,0.003455148141402499
based,0.01816034226554774,0.014710934558035252,0.0034494077075124877
antibodies,0.003462757526050937,1.7613601602449568e-05,0.0034451439244484877
engine,0.005042457585963878,0.001604383864729682,0.0034380737212341963
designs,0.0063037488703026395,0.0028701420204392506,0.003433606849863389
technical,0.008134250989366485,0.004706175194023746,0.0034280757953427396
series,0.004151897711732707,0.0007293940131128841,0.0034225036986198234
insights,0.006234892596665835,0.0028127509593482442,0.003422141637317591
trade,0.008482219258141823,0.0050649272574305754,0.0034172920007112476
vision,0.004428246743858476,0.0010143382481094464,0.0034139084957490297
royalties,0.004946053048157842,0.0015411400874754443,0.0034049129606823977
autonomous,0.0038154537306790757,0.00041354110498939843,0.003401912625689677
dna,0.0035550775050279667,0.00015772379429532585,0.003397353710732641
machine learning,0.00505838000097639,0.0016684742921610532,0.003389905708815337
estimated,0.005133403179540675,0.0017459630547144143,0.0033874401248262607
sciences,0.005206876462209658,0.0018365300440454846,0.003370346418164173
biological,0.0034414100984986747,8.411945841386965e-05,0.0033572906400848052
limitations,0.0037230581207439157,0.00036805250489734686,0.003355005615846569
product quality,0.005474829214227468,0.0021242311124813067,0.003350598101746161
conditions,0.007177948131000379,0.0038352446379869903,0.0033427034930133886
measurement,0.0040152685913067325,0.0006853804488545256,0.0033298881424522067
medical devices,0.003643722670255291,0.0003369090108631907,0.0033068136593921
intellectual,0.015270229465605738,0.011964629071752978,0.00330560039385276
preclinical,0.0033797702186029207,8.112129978684933e-05,0.0032986489188160713
protection,0.008346036149531003,0.005049058508358509,0.003296977641172494
material,0.006649168651999732,0.003357271421267782,0.0032918972307319503
effects,0.0035366928703368487,0.00025000712512121423,0.0032866857452156346
clinical development,0.003556443199829177,0.00028303635869936716,0.00327340684112981
delivery,0.012275649591553884,0.00900451570105695,0.003271133890496934
algorithms,0.004255422868493709,0.0009859401146931905,0.0032694827538005187
methods,0.004677657518356562,0.001411104927652917,0.0032665525907036447
aims,0.006999404559711888,0.003736949501823017,0.003262455057888871
skin,0.0037300182690859682,0.00047539572705207364,0.0032546225420338947
autoimmune,0.0032846441709924773,3.775496490765915e-05,0.0032468892060848182
orphan,0.0032509018120262293,8.06197319870153e-06,0.003242839838827528
countries,0.006283323834132326,0.003046032074161806,0.00323729175997052
sensor,0.003427827570251054,0.0002007835753321221,0.0032270439949189317
ics,0.003650097952718943,0.0004329112502071222,0.0032171867025118208
electronic,0.00728956485901348,0.004072652682942874,0.0032169121760706066
vascular,0.0032920488460007422,7.99162911186802e-05,0.003212132554882062
hybrid,0.005055280684304462,0.001860701151748834,0.0031945795325556275
capabilities,0.012799179638560825,0.009610537986354403,0.0031886416522064216
need,0.00460976428464614,0.0014218544898360042,0.0031879097948101353
partnerships,0.007095525668147185,0.003911835594369038,0.003183690073778147
syndrome,0.0032099193998323594,3.467404174652986e-05,0.0031752453580858294
generated sale,0.004666413006374632,0.0015014494754057772,0.0031649635309688546
gene therapy,0.0031714211798046584,9.36620127752555e-06,0.0031620549785271327
pharmaceutical companies,0.0033736605159825498,0.00021379342815511481,0.003159867087827435
type,0.00398598031489992,0.000831581937410827,0.0031543983774890926
inflammatory,0.003218900995220473,6.889994337031609e-05,0.003150001051850157
motion,0.003853975613972797,0.0007059221968566458,0.003148053417116151
developing commercializing,0.0031918544015852833,4.391933282699804e-05,0.0031479350687582852
protected,0.004146557975113204,0.0010107957712039081,0.003135762203909296
driven,0.011966282739903177,0.008830822142296866,0.0031354605976063113
chip,0.003642965634049575,0.0005110874071722395,0.0031318782268773358
biologics,0.003245126056721243,0.00011547470089381582,0.003129651355827427
environments,0.005683213041108532,0.0025543247468061345,0.0031288882943023974
strategic collaborations,0.00315086303773841,4.16868020801605e-05,0.0031091762356582494
software service,0.003712351783434679,0.0006070794305474299,0.003105272352887249
precise,0.0037267182406200768,0.0006316237097394558,0.003095094530880621
manufacturing processes,0.0035424028396733886,0.0004500158781265445,0.0030923869615468442
oem,0.004181790147968119,0.0010949591476370128,0.003086831000331106
5g,0.00392520880050845,0.0008384093137319288,0.003086799486776521
designing,0.004323004924121989,0.0012368688602578815,0.0030861360638641073
infectious,0.0031448555222039487,6.166502455077936e-05,0.0030831904976531695
issued,0.003827571613929195,0.000749756439187213,0.003077815174741982
service saas,0.0036151903606911956,0.0005509312096075198,0.0030642591510836757
class,0.005929703921692717,0.0028657252940373894,0.003063978627655327
products include,0.007259552326389038,0.00419849529537342,0.003061057031015618
anticipated,0.0037739406285946077,0.0007229092948285769,0.003051031333766031
controls,0.004191830022108532,0.001143659091742673,0.003048170930365859
leadership,0.005925588857811155,0.0028786852945472865,0.003046903563263869
vehicle,0.009213659565469315,0.006170185941863246,0.0030434736236060684
injection,0.0033735445902572884,0.0003363869901156271,0.003037157600141661
potential,0.007663068262678715,0.004628203449118921,0.003034864813559794
procedures,0.003939758822231406,0.0009104570884581818,0.0030293017337732243
addresses,0.004141582008589051,0.001120938248719242,0.003020643759869809
recurring,0.006164425815059827,0.0031492357153765143,0.003015190099683313
